Owner,Repo,Number,Author,Created_at,Updated_at,Closed_at,Merged_at,State,Title,Body,Assignee,Assignees,Requested_reviewers,Labels,Mergeable,Mergeable_state,Comments,Review_comments,Commits,Additions,Deletions,Changed_files
status-board,status-board,1165,dependabot-preview[bot],2021-04-05 11:49:01,2021-05-10 12:51:33,2021-05-10 12:51:30,,closed,chore(deps): [security] bump socket.io from 2.3.0 to 4.0.1,13158,,0,2,"['dependencies', 'security']",,unknown,1,0,1,1,1,1
ganoninc,gulp-webserver,52,dependabot-preview[bot],2021-04-05 11:12:49,2021-04-16 10:20:47,2021-04-16 10:20:45,,closed,[Security] Bump open from 0.0.5 to 8.0.5,7164,,0,2,"['dependencies', 'security']",True,clean,1,0,1,1,1,1
moimikey,imagesloaded,44,dependabot-preview[bot],2021-04-05 11:11:40,2021-05-31 10:24:20,2021-05-31 10:24:18,,closed,[Security] Bump highlight.js from 8.9.1 to 10.7.2,17584,,0,2,"['dependencies', 'security']",,unknown,1,0,1,1,1,1
mrlynn,meanstore,670,dependabot-preview[bot],2021-04-05 11:02:57,2021-05-31 10:22:12,2021-05-31 10:22:10,,closed,[Security] Bump highlight.js from 9.17.1 to 10.7.2,19594,,0,2,"['dependencies', 'security']",True,unstable,1,0,1,1,1,1
piemasters,MiniToTheMax,1539,dependabot-preview[bot],2021-04-05 11:00:03,2021-04-05 11:13:14,2021-04-05 11:13:13,2021-04-05 11:13:13,closed,chore(deps): [security] bump react-dev-utils from 11.0.3 to 11.0.4,4165,,0,2,"['dependencies', 'security']",,unknown,0,0,1,67,27,1
yotie,micron,102,dependabot-preview[bot],2021-04-05 10:57:53,2021-06-04 10:20:57,2021-06-04 10:20:56,,closed,chore(deps): [security] bump highlight.js from 10.3.2 to 10.7.2,18016,,0,2,"['dependencies', 'security']",True,clean,1,0,1,3,3,1
fu4303,mxb,10,dependabot-preview[bot],2021-04-05 10:56:09,2021-05-24 10:47:40,2021-05-24 10:47:38,,closed,[Security] Bump sanitize-html from 2.3.0 to 2.3.3,6885,,0,2,"['dependencies', 'security']",True,clean,2,0,1,39,32,2
fu4303,react-covid-tracker,10,dependabot-preview[bot],2021-04-05 10:55:36,2021-05-10 18:52:34,,,open,[Security] Bump chart.js from 2.9.3 to 2.9.4,7069,,0,2,"['dependencies', 'security']",True,unstable,2,0,1,310,17,3
belsrc,react-ts-demo,171,dependabot-preview[bot],2021-04-05 11:17:47,2021-04-05 11:17:48,,,open,build(deps): [security] bump yargs-parser from 5.0.0 to 5.0.1,7839,,0,2,"['dependencies', 'security']",True,clean,0,0,1,32,14,1
fu4303,mxb,8,dependabot-preview[bot],2021-04-05 10:52:56,2021-05-06 18:49:35,,,open,[Security] Bump lodash from 4.17.20 to 4.17.21,3929,,0,2,"['dependencies', 'security']",True,clean,1,0,1,4,4,2
